"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28343","Test case 0: Дефицит Продукции (Product Deficit) Page - Scan tables within a specific element","page002","Mon Mar 03 05:29:41 GMT 2025","failed","Mon Mar 03 05:30:10 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"Verify Дефицит Продукции (Product Deficit) Page Row Ordering for LEFT table.","18552","Test Case 6 - Verify Дефицит Продукции (Product Deficit) Page Row Ordering for LEFT table","page002","Mon Mar 03 05:31:10 GMT 2025","passed","Mon Mar 03 05:31:29 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"Verify Дефицит Продукции (Product Deficit) Page Column Count and Order Check for LEFT table.","13077","Test Case 2 - Verify Дефицит Продукции (Product Deficit) Page Column Count and Order Check for LEFT table","page002","Mon Mar 03 05:30:21 GMT 2025","passed","Mon Mar 03 05:30:34 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"","0","Test Case 8 - Verify Дефицит Продукции (Product Deficit) Page search functionality RIGHT table","page002","Mon Mar 03 05:31:57 GMT 2025","skipped","Mon Mar 03 05:31:57 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"","1","Test Case 9 - Verify Дефицит Продукции (Product Deficit) Page - Compare dates with Order List for RIGHT table","page002","Mon Mar 03 05:31:57 GMT 2025","skipped","Mon Mar 03 05:31:57 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"Verify Дефицит Продукции (Product Deficit) Page Column header values Check for LEFT table.","13425","Test Case 4 - Verify Дефицит Продукции (Product Deficit) Page Column header values Check for LEFT table","page002","Mon Mar 03 05:30:43 GMT 2025","passed","Mon Mar 03 05:30:57 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"Verify Дефицит Продукции (Product Deficit) Page Row Ordering for RIGHT table.","13472","Test Case 5 - Verify Дефицит Продукции (Product Deficit) Page Row Ordering for RIGHT table","page002","Mon Mar 03 05:30:57 GMT 2025","passed","Mon Mar 03 05:31:10 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"Verify Дефицит Продукции (Product Deficit) Page Column header values Check for RIGHT table.","9531","Test Case 3 - Verify Дефицит Продукции (Product Deficit) Page Column header values Check for RIGHT table","page002","Mon Mar 03 05:30:34 GMT 2025","passed","Mon Mar 03 05:30:43 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"Verify Дефицит Продукции (Product Deficit) Page Column Count and Order Check for RIGHT table.","9572","Test Case 1 - Verify Дефицит Продукции (Product Deficit) Page Column Count and Order Check for RIGHT table","page002","Mon Mar 03 05:30:11 GMT 2025","passed","Mon Mar 03 05:30:21 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
"Verify Дефицит Продукции (Product Deficit) Page search functionality for LEFT table.","27827","Test Case 7 - Verify Дефицит Продукции (Product Deficit) Page search functionality LEFT table","page002","Mon Mar 03 05:31:29 GMT 2025","passed","Mon Mar 03 05:31:57 GMT 2025","Test Suite: page002 - Page 002 test suite to verify functionalities specific to Page 002.","main.spec.ts","",""
