"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20088","TestCase 02 - создат дитайл","suite01","Wed May 07 11:49:55 GMT 2025","failed","Wed May 07 11:50:15 GMT 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","20468","TestCase 14 - Сохранить без добавления каких-либо элементов в спецификацию и проверка сохранения (Save Without Adding Material)","suite01","Wed May 07 11:55:00 GMT 2025","failed","Wed May 07 11:55:20 GMT 2025","","main.spec.ts","",""
"","23421","TestCase 07 - Редактирование изделия - Сравниваем комплектацию (Edit an Existing Детайл - Comparing the complete set)","suite01","Wed May 07 11:52:34 GMT 2025","failed","Wed May 07 11:52:58 GMT 2025","","main.spec.ts","",""
"","6282","TestCase 13 - Добавить одинаковый СБ в спецификацию ДВА раза и проверка сохранения или нет (Add Duplicate Material Type)","suite01","Wed May 07 11:54:53 GMT 2025","passed","Wed May 07 11:55:00 GMT 2025","","main.spec.ts","",""
"","0","TestCase 20 - Совместные изменения (Collaborative Changes)","suite01","Wed May 07 11:57:16 GMT 2025","skipped","Wed May 07 11:57:16 GMT 2025","","main.spec.ts","",""
"","21785","TestCase 17 - cleanup delete all added details (cleanup delete all added details)","suite01","Wed May 07 11:56:08 GMT 2025","failed","Wed May 07 11:56:30 GMT 2025","","main.spec.ts","",""
"","20753","TestCase 09- Редактирование изделия - Сравниваем комплектацию (Edit an Existing Material ПД - Comparing the complete set)","suite01","Wed May 07 11:53:21 GMT 2025","failed","Wed May 07 11:53:42 GMT 2025","","main.spec.ts","",""
"","22404","TestCase 03 - Редактирование изделия - Добавьте каждый тип материала по отдельности. (Add Each Material Type Individually)","suite01","Wed May 07 11:51:01 GMT 2025","failed","Wed May 07 11:51:23 GMT 2025","","main.spec.ts","",""
"","22208","TestCase 10 - cleanup (Return to original state)","suite01","Wed May 07 11:53:43 GMT 2025","failed","Wed May 07 11:54:05 GMT 2025","","main.spec.ts","",""
"","21473","TestCase 08 - cleanup (Return to original state)","suite01","Wed May 07 11:52:59 GMT 2025","failed","Wed May 07 11:53:20 GMT 2025","","main.spec.ts","",""
"","22326","TestCase 04 - Очистка после теста. (Cleanup after test)","suite01","Wed May 07 11:51:24 GMT 2025","failed","Wed May 07 11:51:47 GMT 2025","","main.spec.ts","",""
"","22411","TestCase 06 - Очистка после теста. (Cleanup after test)","suite01","Wed May 07 11:52:11 GMT 2025","failed","Wed May 07 11:52:33 GMT 2025","","main.spec.ts","",""
"","22032","TestCase 12 - Удалить сохраненный материал (Remove Saved Material)","suite01","Wed May 07 11:54:30 GMT 2025","failed","Wed May 07 11:54:52 GMT 2025","","main.spec.ts","",""
"","20451","TestCase 01 - создат дитайл - Проверка страница","suite01","Wed May 07 11:49:31 GMT 2025","failed","Wed May 07 11:49:51 GMT 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","22190","TestCase 05 - Adding All Material Types at Once","suite01","Wed May 07 11:51:48 GMT 2025","failed","Wed May 07 11:52:10 GMT 2025","","main.spec.ts","",""
"","22096","TestCase 16 - Добавьте больше материалов, чем ограниченное количество в спецификацию и проверка сохранения (Exceed Allowed Materials)","suite01","Wed May 07 11:55:45 GMT 2025","failed","Wed May 07 11:56:07 GMT 2025","","main.spec.ts","",""
"","22948","TestCase 15 - Перезагрузить без сохранения после добавления деталей в спецификацию и проверка (Reload without saving)","suite01","Wed May 07 11:55:21 GMT 2025","failed","Wed May 07 11:55:44 GMT 2025","","main.spec.ts","",""
"","20082","TestCase 01 - Редактирование изделия - добавление потомка (СБ) (Editing a product - adding a descendant (СБ))","suite01","Wed May 07 11:50:16 GMT 2025","failed","Wed May 07 11:50:36 GMT 2025","","main.spec.ts","",""
"","23140","TestCase 11 - Delete a Material Before Saving","suite01","Wed May 07 11:54:06 GMT 2025","failed","Wed May 07 11:54:29 GMT 2025","","main.spec.ts","",""
"","21682","TestCase 19 - cleanup (Return to original state)","suite01","Wed May 07 11:56:54 GMT 2025","failed","Wed May 07 11:57:16 GMT 2025","","main.spec.ts","",""
"","22179","TestCase 18 - Добавить, изменить и удалить несколько элементов одновременно в спецификацию и проверка сохранения (Add, Modify, and Delete in One Session)","suite01","Wed May 07 11:56:31 GMT 2025","failed","Wed May 07 11:56:53 GMT 2025","","main.spec.ts","",""
"","22949","TestCase 02 - Очистка после теста. (Cleanup after test)","suite01","Wed May 07 11:50:37 GMT 2025","failed","Wed May 07 11:51:00 GMT 2025","","main.spec.ts","",""
